city_id,city_name,hotel_id,hotel_name,hotel_latitude,hotel_longitude,hotel_country_code,hotel_source,chain_code,dupe_id,hotel_overall_rating,hotel_sentiment_scores,hotel_price_eur,hotel_currency,distance_to_city_center_km,osm_type,osm_raw_id,osm_tags,collected_at,rating_for_score,distance_for_score,hotel_score,hotel_rank
city_aigues_mortes,Aigues-Mortes,osm_node_2691705289,Les Arcades,43.5655732,4.1923304,FR,OpenStreetMap,,,3.0,,,EUR,0.091,node,2691705289,"{'addr:housenumber': '23', 'addr:street': 'Boulevard Gambetta', 'amenity': 'restaurant', 'cuisine': 'regional', 'indoor_seating': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Les Arcades', 'opening_hours': '24/7', 'outdoor_seating': 'yes', 'pet': 'yes', 'rooms': '9', 'stars': '3', 'terrace': 'yes', 'tourism': 'hotel', 'website': 'http://www.les-arcades.fr', 'wheelchair': 'yes'}",2026-04-02T07:41:36.750173+00:00,3.0,0.091,29.818,1
city_aigues_mortes,Aigues-Mortes,osm_node_2691705291,Villa Mazarin,43.5648842,4.1919054,FR,OpenStreetMap,,,,,,EUR,0.144,node,2691705291,"{'contact:website': 'https://www.villamazarin.com/', 'name': 'Villa Mazarin', 'phone': '+33 4 66 73 90 48', 'tourism': 'hotel', 'website': 'https://www.villamazarin.com/'}",2026-04-02T07:41:36.750173+00:00,3.0,0.144,29.712,2
city_aigues_mortes,Aigues-Mortes,osm_way_136742148,Le Saint-Louis,43.567375,4.189557,FR,OpenStreetMap,,,3.0,,,EUR,0.21,way,136742148,"{'addr:housenumber': '10', 'addr:street': 'Rue Amiral Courbet', 'amenity': 'restaurant', 'building': 'hotel', 'contact:email': 'contact@lesaintlouis.fr', 'contact:website': 'http://www.lesaintlouis.fr/', 'name': 'Le Saint-Louis', 'opening_hours': 'Mo-Su 09:00-23:30', 'opening_hours:restaurant': 'We-Su 12:00-14:00,19:00-22:30', 'ref:FR:SIRET': '72020087200011', 'rooms': '22', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011; survey2014', 'stars': '3', 'tourism': 'hotel'}",2026-04-02T07:41:36.751445+00:00,3.0,0.21,29.58,3
city_aigues_mortes,Aigues-Mortes,osm_node_7095806601,Hôtel des remparts,43.5679497,4.1901778,FR,OpenStreetMap,,,,,,EUR,0.228,node,7095806601,"{'name': 'Hôtel des remparts', 'source': 'survey', 'tourism': 'hotel'}",2026-04-02T07:41:36.750173+00:00,3.0,0.228,29.544,4
city_aigues_mortes,Aigues-Mortes,osm_node_12090149785,L'escale,43.5688761,4.1882186,FR,OpenStreetMap,,,,,,EUR,0.404,node,12090149785,"{'name': ""L'escale"", 'tourism': 'hotel'}",2026-04-02T07:41:36.751445+00:00,3.0,0.404,29.192,5
city_aigues_mortes,Aigues-Mortes,osm_node_910360450,Hôtel des Croisades,43.5689899,4.1883622,FR,OpenStreetMap,,,,,,EUR,0.406,node,910360450,"{'check_date': '2025-07-20', 'name': 'Hôtel des Croisades', 'ref:FR:SIRET': '84928280100018', 'tourism': 'hotel'}",2026-04-02T07:41:36.750173+00:00,3.0,0.406,29.188,6
city_aigues_mortes,Aigues-Mortes,osm_node_12351675666,Médiéval,43.571904,4.1934307,FR,OpenStreetMap,,,,,,EUR,0.657,node,12351675666,"{'air_conditioning': 'yes', 'internet_access': 'wlan', 'name': 'Médiéval', 'tourism': 'hotel'}",2026-04-02T07:41:36.751445+00:00,3.0,0.657,28.686,7
city_aigues_mortes,Aigues-Mortes,osm_way_136740880,Hôtel Canal,43.5728956,4.1948193,FR,OpenStreetMap,,,3.0,,,EUR,0.795,way,136740880,"{'addr:city': 'Aigues-Mortes', 'addr:housenumber': '440', 'addr:postcode': '30220', 'addr:street': 'Route de Nîmes', 'air_conditioning': 'yes', 'building': 'hotel', 'building:colour': '#ffe0a0', 'building:levels': '3', 'building:material': 'plaster', 'check_date': '2025-11-29', 'check_date:internet_access': '2024-11-18', 'email': 'contact@hotel-canal.fr', 'fax': '+33 4 66 80 50 32', 'internet_access': 'wlan', 'name': 'Hôtel Canal', 'phone': '+33 4 66 80 50 04', 'roof:colour': 'salmon', 'roof:levels': '0', 'roof:shape': 'gabled', 'rooms': '25', 'sauna': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011', 'stars': '3', 'swimming_pool': 'yes', 'tourism': 'hotel', 'website': 'https://www.hotel-canal.fr'}",2026-04-02T07:41:36.751445+00:00,3.0,0.795,28.41,8
city_aigues_mortes,Aigues-Mortes,osm_node_12091504869,Royal Hotel - Noemy,43.5763759,4.1978257,FR,OpenStreetMap,,,,,,EUR,1.245,node,12091504869,"{'name': 'Royal Hotel - Noemy', 'tourism': 'hotel'}",2026-04-02T07:41:36.751445+00:00,3.0,1.245,27.509999999999998,9
city_aigues_mortes,Aigues-Mortes,osm_way_136742028,Chez Carrière,43.566439,4.1910815,FR,OpenStreetMap,,,2.0,,,EUR,0.049,way,136742028,"{'addr:city': 'Aigues-Mortes', 'addr:housenumber': '18', 'addr:postcode': '30220', 'addr:street': 'Rue Pasteur', 'amenity': 'restaurant', 'building': 'hotel', 'contact:email': 'chezcarriere@wanadoo.fr', 'contact:website': 'http://www.hotelrestaurant-chezcarriere.com/', 'cuisine': 'regional', 'email': 'contact@chezcarriere.com', 'name': 'Chez Carrière', 'outdoor_seating': 'yes', 'phone': '+33 4 66 53 73 07', 'rooms': '7', 'seats': '70', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011;survey2014', 'stars': '2', 'terrace': 'yes', 'tourism': 'hotel'}",2026-04-02T07:41:36.751445+00:00,2.0,0.049,19.902,10
